,Iteration,Lake,Variable_calibrated,kz_N0,c_shelter,i_scv,i_sct,swa_b0,swa_b1,I_scDOC,I_scO,I_scChl,k_Chl,k_POP,k_POC,k_DOP,k_DOC,k_pdesorb_a,k_pdesorb_b,RMSE_all,R2_all,RMSE,NSE,RSR,Pbias,R2,SOS,nrmse,M_score,Note,time
0,1,Bromont,1,2.21e-06,0.3627,1.0,0.0,2.5,1.0,1.0,1.0,1.0,0.4,0.04,0.02,0.04,0.02,100,100,"[3.794, 6.621, nan]","[0.923, 0.362, nan]","[[4.471, 3.561], [8.105, 4.688], [nan, nan]]","[[0.704, 0.372], [-9.708, -0.521], [nan, nan]]","[[0.543, 0.791], [3.267, 1.231], [nan, nan]]","[[35.014, 7.29], [87.726, 75.254], [nan, nan]]","[[35.014, 0.739], [0.052, 0.052], [nan, nan]]","[[6337.043, 4019.901], [20822.089, 6967.219], [nan, nan]]","[[0.171, 0.243], [0.596, 0.415], [nan, nan]]",5,,0:02:23.282958
1,2,Bromont,1,2.21e-06,0.3627,1.0,1.0,2.5,1.0,1.0,1.0,1.0,0.4,0.04,0.02,0.04,0.02,100,100,"[3.777, 6.619, nan]","[0.923, 0.371, nan]","[[4.449, 3.562], [8.101, 4.69], [nan, nan]]","[[0.707, 0.371], [-9.699, -0.522], [nan, nan]]","[[0.541, 0.792], [3.266, 1.232], [nan, nan]]","[[34.85, 6.991], [87.7, 75.292], [nan, nan]]","[[34.85, 0.74], [0.06, 0.051], [nan, nan]]","[[6274.731, 4022.492], [20805.596, 6971.795], [nan, nan]]","[[0.17, 0.244], [0.596, 0.415], [nan, nan]]",6,,0:03:32.531418
2,3,Bromont,1,1e-05,0.3627,1.0,1.0,2.5,1.0,1.0,1.0,1.0,0.4,0.04,0.02,0.04,0.02,100,100,"[3.777, 6.619, nan]","[0.923, 0.37, nan]","[[4.449, 3.56], [8.101, 4.69], [nan, nan]]","[[0.707, 0.372], [-9.699, -0.522], [nan, nan]]","[[0.541, 0.791], [3.266, 1.232], [nan, nan]]","[[34.855, 7.018], [87.699, 75.307], [nan, nan]]","[[34.855, 0.74], [0.06, 0.051], [nan, nan]]","[[6275.541, 4017.294], [20805.334, 6973.701], [nan, nan]]","[[0.17, 0.243], [0.596, 0.415], [nan, nan]]",6,,0:02:24.475052
3,4,Bromont,1,1e-05,0.3627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.04,0.02,0.04,0.02,100,100,"[3.74, 6.624, nan]","[0.923, 0.359, nan]","[[4.372, 3.64], [8.108, 4.691], [nan, nan]]","[[0.717, 0.344], [-9.717, -0.523], [nan, nan]]","[[0.531, 0.809], [3.269, 1.232], [nan, nan]]","[[34.067, 5.767], [87.754, 75.35], [nan, nan]]","[[34.067, 0.734], [0.041, 0.052], [nan, nan]]","[[6058.361, 4200.544], [20840.04, 6975.421], [nan, nan]]","[[0.167, 0.249], [0.596, 0.415], [nan, nan]]",7,,0:02:22.872875
4,5,Bromont,1,0.0001,0.3627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.04,0.02,0.04,0.02,100,100,"[3.738, 6.623, nan]","[0.923, 0.36, nan]","[[4.372, 3.632], [8.106, 4.692], [nan, nan]]","[[0.717, 0.346], [-9.712, -0.524], [nan, nan]]","[[0.531, 0.807], [3.268, 1.232], [nan, nan]]","[[34.096, 5.808], [87.733, 75.378], [nan, nan]]","[[34.096, 0.734], [0.041, 0.051], [nan, nan]]","[[6059.516, 4182.081], [20830.39, 6979.119], [nan, nan]]","[[0.167, 0.248], [0.596, 0.415], [nan, nan]]",7,,0:03:16.240595
5,6,Bromont,1,0.0001,0.5,1.5,1.5,0.5,0.5,1.0,1.0,1.0,0.4,0.04,0.02,0.04,0.02,100,100,"[3.735, 6.66, nan]","[0.922, 0.361, nan]","[[4.394, 3.691], [8.137, 4.742], [nan, nan]]","[[0.714, 0.325], [-9.795, -0.556], [nan, nan]]","[[0.534, 0.82], [3.28, 1.245], [nan, nan]]","[[34.504, 4.925], [88.059, 77.863], [nan, nan]]","[[34.504, 0.723], [0.018, 0.046], [nan, nan]]","[[6119.123, 4319.68], [20990.916, 7127.255], [nan, nan]]","[[0.168, 0.252], [0.599, 0.42], [nan, nan]]",7,,0:02:56.797259
6,7,Bromont,1,0.0001,0.9,1.5,1.5,0.1,0.1,1.0,1.0,1.0,0.4,0.04,0.02,0.04,0.02,100,100,"[4.259, 6.667, nan]","[0.916, 0.33, nan]","[[5.26, 3.324], [8.14, 4.758], [nan, nan]]","[[0.59, 0.453], [-9.801, -0.566], [nan, nan]]","[[0.639, 0.739], [3.281, 1.25], [nan, nan]]","[[42.202, 13.69], [88.032, 78.183], [nan, nan]]","[[42.202, 0.736], [0.004, 0.032], [nan, nan]]","[[8771.207, 3503.237], [21003.002, 7175.294], [nan, nan]]","[[0.201, 0.227], [0.599, 0.421], [nan, nan]]",3,,0:03:07.947525
7,8,Bromont,1,0.0001,0.9,1.5,1.5,0.5,0.5,1.0,1.0,1.0,0.4,0.04,0.02,0.04,0.02,100,100,"[3.737, 6.649, nan]","[0.922, 0.366, nan]","[[4.396, 3.702], [8.125, 4.732], [nan, nan]]","[[0.714, 0.321], [-9.762, -0.549], [nan, nan]]","[[0.534, 0.823], [3.275, 1.243], [nan, nan]]","[[34.503, 4.599], [87.917, 77.552], [nan, nan]]","[[34.503, 0.723], [0.02, 0.05], [nan, nan]]","[[6127.085, 4344.718], [20927.792, 7097.219], [nan, nan]]","[[0.168, 0.253], [0.598, 0.419], [nan, nan]]",4,,0:02:32.385932
8,9,Bromont,1,0.0001,0.9,1.5,1.5,1.0,1.0,1.0,1.0,1.0,0.4,0.04,0.02,0.04,0.02,100,100,"[3.692, 6.646, nan]","[0.923, 0.381, nan]","[[4.306, 3.732], [8.124, 4.727], [nan, nan]]","[[0.725, 0.31], [-9.758, -0.546], [nan, nan]]","[[0.523, 0.829], [3.275, 1.241], [nan, nan]]","[[33.622, 3.965], [87.91, 77.548], [nan, nan]]","[[33.622, 0.726], [0.024, 0.059], [nan, nan]]","[[5878.854, 4415.539], [20919.63, 7081.964], [nan, nan]]","[[0.165, 0.255], [0.598, 0.418], [nan, nan]]",8,,0:08:12.429999
9,10,Bromont,1,0.0001,0.9,1.5,2.0,1.0,1.0,1.0,1.0,1.0,0.4,0.04,0.02,0.04,0.02,100,100,"[3.683, 6.647, nan]","[0.923, 0.378, nan]","[[4.293, 3.733], [8.124, 4.728], [nan, nan]]","[[0.727, 0.31], [-9.76, -0.547], [nan, nan]]","[[0.522, 0.83], [3.275, 1.242], [nan, nan]]","[[33.521, 3.813], [87.916, 77.565], [nan, nan]]","[[33.521, 0.726], [0.023, 0.057], [nan, nan]]","[[5843.465, 4417.526], [20923.15, 7087.309], [nan, nan]]","[[0.164, 0.255], [0.598, 0.419], [nan, nan]]",8,,0:02:27.159623
10,11,Bromont,1,0.0001,0.1,1.5,2.0,1.0,1.0,1.0,1.0,1.0,0.4,0.04,0.02,0.04,0.02,100,100,"[3.581, 6.697, nan]","[0.932, 0.303, nan]","[[4.206, 3.333], [8.179, 4.776], [nan, nan]]","[[0.738, 0.45], [-9.905, -0.579], [nan, nan]]","[[0.511, 0.741], [3.297, 1.254], [nan, nan]]","[[33.08, 7.068], [88.532, 78.499], [nan, nan]]","[[33.08, 0.753], [0.011, 0.021], [nan, nan]]","[[5609.167, 3522.231], [21205.932, 7231.693], [nan, nan]]","[[0.161, 0.228], [0.602, 0.423], [nan, nan]]",9,,0:04:30.109086
11,12,Bromont,1,0.0001,0.1,1.5,2.5,1.0,1.0,1.0,1.0,1.0,0.4,0.04,0.02,0.04,0.02,100,100,"[3.571, 6.695, nan]","[0.932, 0.308, nan]","[[4.194, 3.339], [8.176, 4.775], [nan, nan]]","[[0.74, 0.448], [-9.897, -0.578], [nan, nan]]","[[0.51, 0.742], [3.296, 1.254], [nan, nan]]","[[32.973, 6.817], [88.507, 78.454], [nan, nan]]","[[32.973, 0.753], [0.015, 0.022], [nan, nan]]","[[5575.423, 3533.631], [21189.487, 7227.201], [nan, nan]]","[[0.16, 0.228], [0.601, 0.423], [nan, nan]]",8,best so far,0:03:11.519231
